instance;obtuse_best;steiner_best;obtuse_dortmund;steiner_dortmund
point-set_10_13860916;0;8;0;13
point-set_10_4bcb7c21;0;6;0;9
point-set_10_7451a2a9;0;6;0;7
point-set_10_97578aae;0;5;0;8
point-set_10_ae0fff93;0;8;0;10
point-set_10_c04b0024;0;7;0;10
point-set_10_d009159f;0;7;0;25
point-set_10_f999dc7f;0;10;0;30
point-set_20_0c4009d9;0;21;0;55
point-set_20_34a047f7;0;17;0;31
point-set_20_41c48315;0;15;0;38
point-set_20_54ab0b47;0;11;0;17
point-set_20_5868538a;0;13;0;17
point-set_20_72cd2066;0;16;0;29
point-set_20_fa3fd7e0;0;13;0;23
point-set_40_1b92b629;0;31;0;73
point-set_40_8cbf31aa;0;24;0;52
point-set_40_9451c229;0;27;0;66
point-set_40_ae33a7ea;0;31;0;91
point-set_40_f511c8ce;0;32;0;65
point-set_60_27bc003d;0;43;0;175
point-set_60_2ff8f975;0;48;0;101
point-set_60_74409a1d;0;42;0;104
point-set_60_9fc02edd;0;46;0;91
point-set_60_ac318d72;0;43;0;109
point-set_80_1675b331;0;38;0;68
point-set_80_837b0f11;0;66;0;178
point-set_80_8383fead;0;58;0;152
point-set_80_9a8373fb;0;29;0;93
point-set_80_d77fb670;0;43;0;92
point-set_80_ff15444b;0;60;0;134
point-set_100_0245ce31;0;29;0;73
point-set_100_05594822;0;80;0;178
point-set_100_dd67678e;0;62;0;181
point-set_150_1fb326cf;0;121;0;403
point-set_150_20bcb550;0;77;0;266
point-set_150_982c9ab3;0;151;0;407
point-set_150_b26a2c80;0;95;0;242
point-set_250_3c338713;0;159;0;455
point-set_250_93dd622a;0;84;0;249
