name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_lenght
simple-polygon_10_272aa6ea,10.1044,0.680591,13.2853,130.01,277,579.538
simple-polygon_10_297edd18,8.23352,0.655859,30.5255,112.356,270,3.64005
simple-polygon_10_f2c8d74a,9.42622,0.669337,20.2101,129.241,282,199.881
simple-polygon_20_0dda68ed,10.8871,0.699021,12.7093,133.473,225,207.652
simple-polygon_20_35585ee3,9.17632,0.668828,10.9347,133.533,404,647.184
simple-polygon_20_4bd3c2e5,7.5531,0.649175,24.2277,127.875,403,4.272
simple-polygon_40_12969fc3,7.99143,0.653589,20.1652,121.93,402,624
simple-polygon_60_0347cd75,11.7171,0.725879,4.03763,136.149,275,219.311
simple-polygon_60_17af118a,10.7981,0.702619,5.22842,167.228,249,218.397
simple-polygon_80_48c9df87,11.4271,0.71454,8.55066,144.398,222,210.705
simple-polygon_80_7b8f6c4c,8.88609,0.66305,25.0171,118.416,416,508.084
simple-polygon_100_4b4ba391,12.4165,0.715024,13.7047,133.92,337,4.8121
simple-polygon_100_4ee8f447,11.368,0.713884,17.8013,124.377,209,655.225
simple-polygon_100_6101abad,10.6227,0.708777,15.2551,123.69,243,450
simple-polygon_100_cb23308c,11.0603,0.72846,9.47178,132.246,370,656.25
simple-polygon_150_743d6b9c,11.9894,0.73796,9.03442,128.928,327,255.578
simple-polygon_150_b42a5724,11.9224,0.759494,7.40822,146.664,345,792.965
simple-polygon_150_c0cf1e9c,14.8458,0.816823,4.39871,159.253,138,492.384
simple-polygon_150_f24b0f8e,9.5716,0.715263,11.3099,123.69,341,460.977
simple-polygon_250_432b4814,14.3532,0.981474,0.247925,148.414,161,347.311
simple-polygon_250_6e9d9c26,12.9992,0.821457,10.3048,143.13,281,472.453
simple-polygon_250_c02755d7,14.2455,0.858299,8.18824,135.121,265,252
